3 Suits,4,5,1
4 Suits,4,1,1
6 Suits,5,1,1
Ambiguous (6 Suits),3,3,1
Ambiguous (6 Suits),5,11,1
Black & Omni (5 Suits),5,3,1
Black (5 Suits),3,3,1
Brown (4 Suits),3,1,1
Brown (4 Suits),4,3,1
Brown (4 Suits),5,3,1
Brown (5 Suits),3,1,1
Brown (5 Suits),4,1,1
Brown (6 Suits),4,5,1
Brown-Ones & Black (6 Suits),5,1,1
Brown-Ones & Pink (4 Suits),3,1,1
Brown-Ones (4 Suits),5,3,1
Brown-Ones (6 Suits),6,1,1
Dark Brown (5 Suits),3,1,1
Dark Null (6 Suits),3,5,1
Dark Prism (5 Suits),4,3,1
Dark Prism (6 Suits),3,2,1
Dual-Color (5 Suits),5,3,1
Gray (5 Suits),4,2,1
Gray (6 Suits),4,1,1
Gray Pink (6 Suits),4,1,1
Light Pink (5 Suits),3,1,1
Light Pink (5 Suits),4,1,1
Light Pink (6 Suits),3,1,1
Light Pink (6 Suits),6,1,1
Muddy Rainbow (5 Suits),3,1,1
Muddy Rainbow (5 Suits),5,1,1
Muddy-Rainbow-Fives & White (6 Suits),3,3,1
Muddy-Rainbow-Ones & Rainbow (3 Suits),4,1,1
No Variant,2,1,1
No Variant,3,10,1
No Variant,4,9,1
No Variant,5,1,1
Null-Ones (6 Suits),4,2,1
Omni (5 Suits),5,2,1
Pink & Brown (4 Suits),3,1,1
Pink & Brown (6 Suits),4,2,1
Pink & Prism (4 Suits),4,1,1
Pink (4 Suits),3,3,1
Pink (6 Suits),5,4,1
Pink-Ones & Dark Prism (6 Suits),3,2,1
Prism (5 Suits),3,3,1
Rainbow & Brown (6 Suits),6,2,1
Rainbow & Gray (6 Suits),4,1,1
Rainbow & Prism (5 Suits),4,1,1
Rainbow & White (5 Suits),4,1,1
Rainbow & White (6 Suits),5,2,1
Rainbow (4 Suits),4,3,1
Rainbow (4 Suits),6,2,1
Rainbow (5 Suits),3,3,1
Rainbow (5 Suits),6,3,1
Rainbow (6 Suits),4,1,1
Rainbow (6 Suits),5,1,1
Rainbow (6 Suits),6,1,1
Rainbow-Ones & Pink (5 Suits),4,1,1
Reversed (6 Suits),5,1,1
Throw It in a Hole & Brown (4 Suits),4,2,1
Up or Down (6 Suits),4,1,1
White & Brown (4 Suits),4,1,1
White & Brown (5 Suits),3,1,1
White & Brown (5 Suits),5,1,1
White & Prism (5 Suits),4,1,1
White (3 Suits),4,1,1
White (5 Suits),3,1,1
White (6 Suits),3,1,1
White (6 Suits),5,1,1
White-Fives & Rainbow (6 Suits),5,1,1
White-Ones & Brown (6 Suits),3,1,1
White-Ones & Prism (5 Suits),3,2,1
White-Ones & Rainbow (6 Suits),4,3,1
