Pink-Fives & Black (6 Suits),4,1
Dark Null (6 Suits),4,1
Up or Down & Omni (6 Suits),4,1
Cocoa Rainbow (6 Suits),3,1
Rainbow & Light Pink (6 Suits),3,1
Rainbow & Pink (6 Suits),3,1
Muddy Rainbow & Dark Prism (6 Suits),3,1
Prism (6 Suits),2,1
Brown & Gray (6 Suits),2,1
Light-Pink-Ones & White (6 Suits),1,1
Ambiguous (6 Suits),1,1
Rainbow-Ones & Brown (6 Suits),1,1
Pink & Muddy Rainbow (6 Suits),1,1
Brown & Light Pink (6 Suits),1,1
Special Mix (6 Suits),7,0
Rainbow & Gray (6 Suits),5,0
Light Pink & Gray (6 Suits),3,0
Rainbow-Ones & Dark Pink (6 Suits),3,0
Pink & Brown (6 Suits),3,0
Muddy Rainbow & Gray (6 Suits),2,0
Black (6 Suits),2,0
Omni-Ones & Rainbow (6 Suits),2,0
Rainbow-Fives & Light Pink (6 Suits),2,0
Rainbow & Omni (6 Suits),2,0
Muddy Rainbow (6 Suits),2,0
Brown & Dark Prism (6 Suits),2,0
White & Prism (6 Suits),2,0
Black & Prism (6 Suits),2,0
Rainbow-Ones & Rainbow (6 Suits),2,0
White-Ones & Pink (6 Suits),2,0
Clue Starved & Prism (6 Suits),2,0
Dark Omni (6 Suits),1,0
Brown (6 Suits),1,0
Dual-Color Mix,1,0
White-Ones & Rainbow (6 Suits),1,0
Ambiguous Mix,1,0
Dark Pink (6 Suits),1,0
Up or Down & Prism (6 Suits),1,0
Prism & Dark Rainbow (6 Suits),1,0
Rainbow & Null (6 Suits),1,0
Rainbow-Fives & Cocoa Rainbow (6 Suits),1,0
Muddy-Rainbow-Fives & Black (6 Suits),1,0
Pink & Light Pink (6 Suits),1,0
