player1,player2,attempts,won_variants,attempts/win
ADrone,pianoblook,793,203,3.91
Aluap,antitelharsic,249,28,8.89
Amy2,wump,327,61,5.36
Amy2,Nitrate2,474,107,4.43
anser,nukelauncher,334,83,4.02
anser,william65537,222,21,10.57
asaelr,scharkbite,11,4,2.75
avanderwalde,rkass,50,8,6.25
BlueNovember,Pantheia,121,19,6.37
BlueNovember,Crux,192,32,6.00
ChristopheAF,Lanvin,42,0,NA
Dr_Kakashi,kimbifille,2465,156,15.80
Dr_Kakashi,asaelr,50,10,5.00
Dr_Kakashi,Floriman,15,5,3.00
Dr_Kakashi,IAMJEFF,678,122,5.56
Dr_Kakashi,Kyle,60,9,6.67
Dr_Kakashi,Valetta6789,9,1,9.00
Dr_Kakashi,scharkbite,44,3,14.67
Dr_Kakashi,RaKXeR,162,5,32.40
Dr_Kakashi,micerang,25,5,5.00
Dr_Kakashi,Fireheart,83,7,11.86
Dr_Kakashi,Livia,191,28,6.82
Durandal,HelanaAshryvr,1851,257,7.20
Durandal,Lanvin,556,107,5.20
Durandal,squirrel1988,457,38,12.03
emilyzhao,squidgetx,431,85,5.07
Fireheart,Valetta6789,1825,356,5.13
Fireheart,Kyle,117,12,9.75
Fireheart,micerang,15,2,7.50
Fireheart,Zamiel,222,27,8.22
Fireheart,asaelr,128,25,5.12
Fireheart,Livia,230,33,6.97
Fireheart,scharkbite,87,15,5.80
Fireheart,IAMJEFF,1695,146,11.61
Floriman,kimbifille,4,1,4.00
Floriman,Valetta6789,8,1,8.00
Floriman,asaelr,13,5,2.60
Floriman,Kyle,49,13,3.77
Floriman,florrat2,5,1,5.00
Floriman,RaKXeR,0,0,NA
Floriman,scharkbite,3,1,3.00
florrat2,timotree,73,2,36.50
florrat2,postmans,37,7,5.29
florrat2,sankala,67,2,33.50
HelanaAshryvr,Lanvin,137,23,5.96
HelanaAshryvr,squirrel1988,229,36,6.36
IAMJEFF,kimbifille,171,46,3.72
IAMJEFF,asaelr,219,43,5.09
IAMJEFF,Zamiel,118,13,9.08
IAMJEFF,Valetta6789,849,93,9.13
IAMJEFF,scharkbite,88,22,4.00
indego,melwen,13,4,3.25
Jake_Stiles,solarstar92,696,87,8.00
kimbifille,pianoblook,15,1,15.00
kimbifille,piper,113,34,3.32
kimbifille,kooolant,107,22,4.86
Kyle,scharkbite,64,10,6.40
Kyle,asaelr,58,14,4.14
Kyle,Zamiel,78,5,15.60
Kyle,micerang,29,4,7.25
Kyle,TimeHoodie,6,2,3.00
Lanvin,VerySloppyTwo,999,245,4.08
Lanvin,Lel0uch,31,6,5.17
Lanvin,melwen,39,4,9.75
Lanvin,rz,41,9,4.56
Lanvin,indego,39,7,5.57
Lanvin,Wittvector,117,16,7.31
Lanvin,MangoPie,15,2,7.50
Lanvin,squirrel1988,213,35,6.09
Lel0uch,MarkusKahlsen,284,40,7.10
Lel0uch,melwen,994,113,8.80
Lel0uch,indego,2142,230,9.31
Lel0uch,derekcheah,291,37,7.86
Lel0uch,squirrel1988,137,46,2.98
Lel0uch,frosty104,86,16,5.38
Libster,sjdrodge,4,3,1.33
Libster,timotree,81,1,81.00
Libster,Valetta6789,71,6,11.83
Libster,florrat2,175,21,8.33
Libster,RaKXeR,203,6,33.83
Libster,sankala,140,1,140.00
Libster,Zamiel,164,15,10.93
Libster,NoMercy,0,0,NA
Libster,Razvogor,47,0,NA
Libster,frog-kun,79,2,39.50
Libster,Razgovor,350,20,17.50
Libster,NotRaKXeR,30,1,30.00
Livia,invarse,473,71,6.66
melwen,ntinta,0,0,NA
melwen,squirrel1988,133,7,19.00
melwen,scharkbite,102,9,11.33
melwen,sephiroth,1,1,1.00
micerang,scharkbite,11,2,5.50
NoMercy,florrat2,0,0,NA
NoMercy,Zamiel,164,9,18.22
Pablo-,nitawa,919,221,4.16
pianoblook,piper,69,13,5.31
RaKXeR,florrat2,73,7,10.43
RaKXeR,Valetta6789,167,5,33.40
RaKXeR,Zamiel,30,2,15.00
Razvogor,florrat2,136,3,45.33
rz,wump,58,18,3.22
Syrah,mugsly,2,0,NA
Syrah,scepheo,88,21,4.19
TheDaniMan,indego,1126,125,9.01
TheDaniMan,doeo,3,0,NA
TheDaniMan,lilyxy,336,60,5.60
TimeHoodie,kimbifille,24,7,3.43
TimeHoodie,melwen,9,0,NA
Valetta6789,florrat2,158,3,52.67
VerySloppyTwo,sephiroth,93,3,31.00
Zamiel,kimbifille,79,3,26.33
Zamiel,micerang,76,10,7.60
Zamiel,scharkbite,0,0,NA
Zamiel,florrat2,317,20,15.85
Zamiel,sankala,130,4,32.50
