variant,attempts,won
Omni & Muddy Rainbow (5 Suits),2,1
White-Ones & Gray (5 Suits),2,1
White & Gray Pink (5 Suits),2,1
Omni & Light Pink (5 Suits),1,1
Omni & Prism (5 Suits),1,1
Omni & Dark Rainbow (5 Suits),1,1
Cow & Pig (5 Suits),1,1
Deceptive-Fives (5 Suits),1,1
Extremely Ambiguous & Pink (5 Suits),1,1
Ambiguous & Rainbow (5 Suits),1,1
Up or Down & Rainbow (5 Suits),1,1
Up or Down & Pink (5 Suits),1,1
Dark Rainbow (5 Suits),5,0
Brown-Ones & Light Pink (5 Suits),3,0
Black & Rainbow (5 Suits),3,0
Muddy-Rainbow-Fives (5 Suits),3,0
Rainbow-Ones (5 Suits),2,0
Up or Down (5 Suits),2,0
Special Mix (5 Suits),2,0
Rainbow & Omni (5 Suits),2,0
Ambiguous & Brown (5 Suits),2,0
Pink-Ones & Dark Rainbow (5 Suits),2,0
Rainbow & Muddy Rainbow (5 Suits),1,0
Dark Pink (5 Suits),1,0
Dark Omni (5 Suits),1,0
Up or Down & Omni (5 Suits),1,0
Brown-Ones & Prism (5 Suits),1,0
Gray Reversed (5 Suits),1,0
