ADrone,pianoblook,27,8,3.38
Aluap,antitelharsic,24,6,4.00
Amy2,wump,9,2,4.50
Amy2,Nitrate2,6,2,3.00
anser,nukelauncher,13,4,3.25
anser,william65537,6,1,6.00
asaelr,scharkbite,28,11,2.55
avanderwalde,rkass,61,12,5.08
BlueNovember,Pantheia,30,6,5.00
BlueNovember,Crux,23,5,4.60
ChristopheAF,Lanvin,14,0,NA
Dr_Kakashi,kimbifille,79,11,7.18
Dr_Kakashi,asaelr,53,8,6.62
Dr_Kakashi,Floriman,23,8,2.88
Dr_Kakashi,IAMJEFF,90,14,6.43
Dr_Kakashi,Kyle,69,7,9.86
Dr_Kakashi,Valetta6789,40,7,5.71
Dr_Kakashi,scharkbite,36,8,4.50
Dr_Kakashi,RaKXeR,74,3,24.67
Dr_Kakashi,micerang,29,5,5.80
Dr_Kakashi,Fireheart,18,2,9.00
Dr_Kakashi,Livia,18,2,9.00
Durandal,HelanaAshryvr,8,2,4.00
Durandal,Lanvin,11,1,11.00
Durandal,squirrel1988,6,2,3.00
emilyzhao,squidgetx,24,7,3.43
Fireheart,Valetta6789,113,34,3.32
Fireheart,Kyle,64,14,4.57
Fireheart,micerang,29,8,3.62
Fireheart,Zamiel,31,6,5.17
Fireheart,asaelr,49,16,3.06
Fireheart,Livia,20,3,6.67
Fireheart,scharkbite,38,6,6.33
Fireheart,IAMJEFF,119,18,6.61
Floriman,kimbifille,28,7,4.00
Floriman,Valetta6789,24,8,3.00
Floriman,asaelr,35,11,3.18
Floriman,Kyle,26,7,3.71
Floriman,florrat2,29,2,14.50
Floriman,RaKXeR,32,3,10.67
Floriman,scharkbite,37,9,4.11
florrat2,timotree,51,3,17.00
florrat2,postmans,10,3,3.33
florrat2,sankala,32,3,10.67
HelanaAshryvr,Lanvin,30,9,3.33
HelanaAshryvr,squirrel1988,14,3,4.67
IAMJEFF,kimbifille,26,4,6.50
IAMJEFF,asaelr,31,5,6.20
IAMJEFF,Zamiel,45,6,7.50
IAMJEFF,Valetta6789,78,11,7.09
IAMJEFF,scharkbite,35,9,3.89
indego,melwen,16,5,3.20
Jake_Stiles,solarstar92,2,2,1.00
kimbifille,pianoblook,90,21,4.29
kimbifille,piper,91,25,3.64
kimbifille,kooolant,21,3,7.00
Kyle,scharkbite,43,8,5.38
Kyle,asaelr,31,7,4.43
Kyle,Zamiel,69,10,6.90
Kyle,micerang,23,3,7.67
Kyle,TimeHoodie,17,4,4.25
Lanvin,VerySloppyTwo,27,4,6.75
Lanvin,Lel0uch,25,6,4.17
Lanvin,melwen,37,11,3.36
Lanvin,rz,35,11,3.18
Lanvin,indego,30,5,6.00
Lanvin,Wittvector,23,5,4.60
Lanvin,MangoPie,28,10,2.80
Lanvin,squirrel1988,21,4,5.25
Lel0uch,MarkusKahlsen,26,8,3.25
Lel0uch,melwen,65,19,3.42
Lel0uch,indego,74,17,4.35
Lel0uch,derekcheah,8,2,4.00
Lel0uch,squirrel1988,37,10,3.70
Lel0uch,frosty104,21,3,7.00
Libster,sjdrodge,22,5,4.40
Libster,timotree,21,2,10.50
Libster,Valetta6789,73,2,36.50
Libster,florrat2,131,11,11.91
Libster,RaKXeR,77,8,9.62
Libster,sankala,39,3,13.00
Libster,Zamiel,70,10,7.00
Libster,NoMercy,42,6,7.00
Libster,Razvogor,77,1,77.00
Libster,frog-kun,0,0,NA
Libster,Razgovor,45,5,9.00
Libster,NotRaKXeR,13,2,6.50
Livia,invarse,6,1,6.00
melwen,ntinta,6,2,3.00
melwen,squirrel1988,20,5,4.00
melwen,scharkbite,33,7,4.71
melwen,sephiroth,10,1,10.00
micerang,scharkbite,20,6,3.33
NoMercy,florrat2,27,2,13.50
NoMercy,Zamiel,15,6,2.50
Pablo-,nitawa,14,9,1.56
pianoblook,piper,80,21,3.81
RaKXeR,florrat2,73,7,10.43
RaKXeR,Valetta6789,44,3,14.67
RaKXeR,Zamiel,22,6,3.67
Razvogor,florrat2,72,1,72.00
rz,wump,38,7,5.43
Syrah,mugsly,78,22,3.55
Syrah,scepheo,76,21,3.62
TheDaniMan,indego,16,5,3.20
TheDaniMan,doeo,31,10,3.10
TheDaniMan,lilyxy,47,15,3.13
TimeHoodie,kimbifille,10,4,2.50
TimeHoodie,melwen,16,5,3.20
Valetta6789,florrat2,86,5,17.20
VerySloppyTwo,sephiroth,12,2,6.00
Zamiel,kimbifille,38,3,12.67
Zamiel,micerang,27,4,6.75
Zamiel,scharkbite,59,9,6.56
Zamiel,florrat2,67,12,5.58
Zamiel,sankala,9,2,4.50
